Date,Open,High,Low,Close,Adj Close,Volume
02-01-2015,27521.2793,27937.4707,27519.25977,27887.90039,27887.90039,7400
05-01-2015,27978.42969,28064.49023,27786.84961,27842.32031,27842.32031,9200
06-01-2015,27694.23047,27698.92969,26937.06055,26987.46094,26987.46094,14100
07-01-2015,26983.42969,27051.59961,26776.11914,26908.82031,26908.82031,12200
08-01-2015,27178.76953,27316.41016,27101.93945,27274.71094,27274.71094,8200
09-01-2015,27404.18945,27507.66992,27119.63086,27458.38086,27458.38086,11100
12-01-2015,27523.85938,27620.66016,27323.74023,27585.26953,27585.26953,7500
13-01-2015,27611.56055,27670.18945,27324.58008,27425.73047,27425.73047,7800
14-01-2015,27432.14063,27512.80078,27203.25,27346.82031,27346.82031,10200
15-01-2015,27831.16016,28194.60938,27703.69922,28075.55078,28075.55078,16700
16-01-2015,28056.60938,28176.09961,27945.31055,28121.89063,28121.89063,12100
19-01-2015,28249.83984,28334.06055,28197.35938,28262.00977,28262.00977,10900
20-01-2015,28324.84961,28829.28906,28324.84961,28784.66992,28784.66992,11100
21-01-2015,28843.08984,28958.09961,28792.57031,28888.85938,28888.85938,15400
22-01-2015,28957.78906,29060.41016,28892.23047,29006.01953,29006.01953,11100
23-01-2015,29189.44922,29408.73047,29165.56055,29278.83984,29278.83984,11900
27-01-2015,29451.65039,29618.58984,29286.08984,29571.03906,29571.03906,11300
28-01-2015,29565.7207,29786.32031,29417.66992,29559.17969,29559.17969,11200
29-01-2015,29516.49023,29740.63086,29378.30078,29681.76953,29681.76953,12700
30-01-2015,29801.59961,29844.16016,29070.48047,29182.94922,29182.94922,15800
02-02-2015,29143.63086,29268.13086,28958.51953,29122.26953,29122.26953,18000
03-02-2015,29217.40039,29253.06055,28900.41016,29000.14063,29000.14063,16600
04-02-2015,29129.84961,29133.61914,28824.67969,28883.10938,28883.10938,15800
05-02-2015,28912.38086,29277.83008,28753.28906,28850.9707,28850.9707,12800
06-02-2015,28892.21094,28922.84961,28647.14063,28717.91016,28717.91016,11400
09-02-2015,28566.5,28566.5,28183.32031,28227.39063,28227.39063,11700
10-02-2015,28122.48047,28633.7207,28044.49023,28355.61914,28355.61914,14600
11-02-2015,28450.25977,28618.91016,28424.39063,28533.9707,28533.9707,13800
12-02-2015,28650.25,28838.51953,28406.25,28805.09961,28805.09961,13800
13-02-2015,28888.99023,29154.66992,28835.69922,29094.92969,29094.92969,17600
16-02-2015,29170.76953,29325.34961,29083.40039,29135.88086,29135.88086,10500
18-02-2015,29136.07031,29411.32031,29126.91016,29320.25977,29320.25977,11000
19-02-2015,29434.91016,29522.85938,29108.15039,29462.26953,29462.26953,11900
20-02-2015,29446.21094,29462.08984,29178.25977,29231.41016,29231.41016,11500
23-02-2015,29316.58008,29362.96094,28913.16016,28975.10938,28975.10938,8800
24-02-2015,29016.55078,29130.66992,28875.93945,29004.66016,29004.66016,10200
25-02-2015,29115.32031,29269.83008,28967.60938,29007.99023,29007.99023,8000
26-02-2015,29051.90039,29069.13086,28693.82031,28746.65039,28746.65039,10700
27-02-2015,28865.11914,29254.01953,28837.06055,29220.11914,29220.11914,16500
28-02-2015,28606.24414,28764.28876,28411.0013,28585.2808,28585.2808,12130.76923
02-03-2015,29533.41992,29576.32031,29259.76953,29459.14063,29459.14063,15300
03-03-2015,29500.18945,29636.85938,29364.86914,29593.73047,29593.73047,12200
04-03-2015,29937.26953,30024.74023,29289.05078,29380.73047,29380.73047,17000
05-03-2015,29436.76953,29518.32031,29162.4707,29448.94922,29448.94922,13400
09-03-2015,29316.53906,29321.06055,28799.75977,28844.7793,28844.7793,11800
10-03-2015,28924.06055,28949.10938,28584.49023,28709.86914,28709.86914,11200
11-03-2015,28725.75,28843.23047,28608.17969,28659.16992,28659.16992,12500
12-03-2015,28798.60938,28971.00977,28772.71094,28930.41016,28930.41016,11100
13-03-2015,29134.92969,29183.75977,28448.48047,28503.30078,28503.30078,11500
16-03-2015,28546.31055,28581.82031,28384.08984,28437.71094,28437.71094,11100
17-03-2015,28595,28784.34961,28435.44922,28736.38086,28736.38086,11000
18-03-2015,28766.86914,28806.9707,28546.75977,28622.11914,28622.11914,9700
19-03-2015,28805.2207,28978.74023,28411.69922,28469.66992,28469.66992,11400
20-03-2015,28465.43945,28484.35938,28209.66016,28261.08008,28261.08008,13900
23-03-2015,28317.28906,28385.14063,28163.90039,28192.01953,28192.01953,10000
24-03-2015,28209.33008,28455.32031,28130.08984,28161.7207,28161.7207,9700
25-03-2015,28216.08984,28249.59961,28031.41992,28111.83008,28111.83008,17400
26-03-2015,27937.61914,27997.14063,27384.86914,27457.58008,27457.58008,12700
27-03-2015,27649.7793,27694.41016,27248.44922,27458.64063,27458.64063,11400
30-03-2015,27655.78906,28017.9707,27624.75977,27975.85938,27975.85938,11100
31-03-2015,28069.84961,28180.64063,27868.21094,27957.49023,27957.49023,11100
01-04-2015,27954.85938,28298.33984,27889.01953,28260.14063,28260.14063,8100
06-04-2015,28351.93945,28530.81055,28221.99023,28504.46094,28504.46094,8300
07-04-2015,28582.33008,28641.08008,28274.35938,28516.58984,28516.58984,11900
08-04-2015,28601.49023,28763.06055,28566.60938,28707.75,28707.75,9800
09-04-2015,28858.41992,28906.71094,28622.43945,28885.21094,28885.21094,13100
10-04-2015,28889.26953,28907.81055,28756.75,28879.38086,28879.38086,8000
13-04-2015,28955.13086,29072.50977,28843.93945,29044.43945,29044.43945,8500
15-04-2015,29087.25,29094.60938,28721.63086,28799.68945,28799.68945,10500
16-04-2015,28876.23047,28876.23047,28497.69922,28666.03906,28666.03906,8400
17-04-2015,28682.9707,28696.18945,28403.75977,28442.09961,28442.09961,13900
20-04-2015,28525.65039,28539.46094,27802.36914,27886.21094,27886.21094,19000
21-04-2015,27860.50977,27976.92969,27598.21094,27676.03906,27676.03906,20700
22-04-2015,27756.67969,27947.25977,27385.48047,27890.13086,27890.13086,11700
23-04-2015,27977.26953,28087.7793,27621.17969,27735.01953,27735.01953,11400
24-04-2015,27804.58008,27829.10938,27344.69922,27437.93945,27437.93945,12000
27-04-2015,27565.49023,27567.2793,27141.55078,27176.99023,27176.99023,12100
28-04-2015,27215.60938,27482.14063,27073.25,27396.38086,27396.38086,10300
29-04-2015,27395.71094,27438.96094,27176.53906,27225.92969,27225.92969,9500
30-04-2015,27242.05078,27242.05078,26897.53906,27011.31055,27011.31055,10900
04-05-2015,27204.63086,27537.84961,27159.44922,27490.58984,27490.58984,8300
05-05-2015,27561.32031,27603.71094,27338.23047,27440.14063,27440.14063,11300
06-05-2015,27473.35938,27501.15039,26677.64063,26717.36914,26717.36914,14200
07-05-2015,26721.33984,26850.36914,26423.99023,26599.10938,26599.10938,12500
08-05-2015,26814.38086,27196.2793,26814.38086,27105.39063,27105.39063,8800
11-05-2015,27249.41992,27544.24023,27231.2793,27507.30078,27507.30078,11300
12-05-2015,27502.91016,27502.91016,26837.39063,26877.48047,26877.48047,12400
13-05-2015,27023.71094,27299.80078,26750.00977,27251.09961,27251.09961,13600
14-05-2015,27290.16992,27293.99023,26948.61914,27206.06055,27206.06055,8900
15-05-2015,27233.90039,27379.57031,27159.75977,27324,27324,9300
18-05-2015,27416.9707,27725.9707,27370.2793,27687.30078,27687.30078,7800
19-05-2015,27663.08008,27872.23047,27574.07031,27645.5293,27645.5293,10600
20-05-2015,27749.30078,27903.00977,27743.99023,27837.21094,27837.21094,16400
21-05-2015,27885.35938,27911.43945,27712.73047,27809.34961,27809.34961,8400
22-05-2015,27849.53906,28071.16016,27828.60938,27957.5,27957.5,17800
25-05-2015,27893.25,27903.28906,27614.32031,27643.88086,27643.88086,8300
26-05-2015,27633.66016,27675.93945,27473.53906,27531.41016,27531.41016,7100
27-05-2015,27447.40039,27595.80078,27363.7207,27564.66016,27564.66016,8600
28-05-2015,27619.31055,27666.36914,27354.34961,27506.71094,27506.71094,9000
29-05-2015,27553.0293,27888.32031,27467.23047,27828.43945,27828.43945,12500
01-06-2015,27770.78906,27959.42969,27737.58008,27848.99023,27848.99023,9600
02-06-2015,27890.73047,27902.5293,27146.67969,27188.38086,27188.38086,14500
03-06-2015,27230.67969,27276.2207,26698.25977,26837.19922,26837.19922,14000
04-06-2015,26940.64063,26948.83984,26551.9707,26813.41992,26813.41992,11600
05-06-2015,26819.82031,27014.41992,26718.43945,26768.49023,26768.49023,11900
08-06-2015,26814.31055,26827.06055,26472.86914,26523.08984,26523.08984,7900
09-06-2015,26510.28906,26604.65039,26438.32031,26481.25,26481.25,11000
10-06-2015,26517.32031,26934.74023,26493.28906,26840.5,26840.5,8400
11-06-2015,26959.98047,27000.14063,26348.92969,26370.98047,26370.98047,11300
12-06-2015,26340.32031,26489.58008,26307.07031,26425.30078,26425.30078,9600
15-06-2015,26498.66992,26728.59961,26307.83984,26586.55078,26586.55078,11000
16-06-2015,26586.85938,26731.34961,26379.92969,26686.50977,26686.50977,13100
17-06-2015,26815.41016,26983.48047,26728.89063,26832.66016,26832.66016,23000
18-06-2015,26916.99023,27175.39063,26910.25977,27115.83008,27115.83008,10500
19-06-2015,27207.75977,27404.59961,27202.38086,27316.16992,27316.16992,8100
22-06-2015,27427.18945,27782.31055,27417.0293,27730.21094,27730.21094,8100
23-06-2015,27760.10938,27882.66016,27666.58984,27804.36914,27804.36914,8600
24-06-2015,27852.32031,27948.24023,27647.28906,27729.66992,27729.66992,9400
25-06-2015,27660.2207,27968.75,27635.75977,27895.9707,27895.9707,10100
26-06-2015,27880.7207,27921.85938,27675.16016,27811.83984,27811.83984,9600
29-06-2015,27451.07031,27695.32031,27209.18945,27645.15039,27645.15039,10900
30-06-2015,27627.39063,27814.5293,27570.94922,27780.83008,27780.83008,9500
01-07-2015,27823.65039,28099.25,27799.91016,28020.86914,28020.86914,18400
02-07-2015,28100.38086,28115.96094,27906.34961,27945.80078,27945.80078,6800
03-07-2015,27973.11914,28135.42969,27897.44922,28092.78906,28092.78906,6000
06-07-2015,27857.19922,28235.31055,27774.80078,28208.75977,28208.75977,8300
07-07-2015,28220.10938,28335.23047,28084.35938,28171.68945,28171.68945,8000
08-07-2015,28031.44922,28031.44922,27635.7207,27687.7207,27687.7207,13700
09-07-2015,27681.49023,27798.13086,27540.59961,27573.66016,27573.66016,8200
10-07-2015,27705.35938,27729.46094,27530.90039,27661.40039,27661.40039,10800
13-07-2015,27739.32031,28005.16992,27635.06055,27961.18945,27961.18945,7800
14-07-2015,27986.91992,28018.58984,27853.96094,27932.90039,27932.90039,6900
15-07-2015,28022.14063,28218.36914,27986.48047,28198.28906,28198.28906,6000
16-07-2015,28259.69922,28478.42969,28245.81055,28446.11914,28446.11914,8500
17-07-2015,28480.91992,28576.32031,28417.46094,28463.31055,28463.31055,7300
20-07-2015,28544.2793,28549.13086,28319.83008,28420.11914,28420.11914,6600
21-07-2015,28381.82031,28518.06055,28138.30078,28182.14063,28182.14063,11700
22-07-2015,28159.41992,28546.41992,28070.91016,28504.92969,28504.92969,9500
23-07-2015,28540.9707,28578.33008,28315.36914,28370.83984,28370.83984,8900
24-07-2015,28390.5,28402.64063,28083.75977,28112.31055,28112.31055,9300
27-07-2015,28117.65039,28117.65039,27529.57031,27561.38086,27561.38086,9500
